state,reopening,stay_at_home,travelers_quarantine,businss_closures,gathering_bans,resturant_limits,bar_closures,face_covering,primary_election,emergency_declaration,emergency_date
New York,Proceeding with Reopening,Rolled Back to High Risk Groups,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,3/7/20
North Carolina,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,-,Yes,3/10/20
North Dakota,Reopened,-,All Travelers,All Non-Essential Businesses Permitted to Reopen,-,Reopened to Dine-in Service,Reopened,-,-,Yes,3/13/20
Ohio,Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service,Reopened,Required for General Public,Postponed,Yes,3/9/20
Oklahoma,Reopened,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,-,-,Yes,3/15/20
Oregon,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,New Capacity Limits,New Service Limits,Required for General Public,-,Yes,3/8/20
Pennsylvania,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,New Capacity Limits,Newly Closed,Required for General Public,-,Yes,3/6/20
Rhode Island,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,3/9/20
South Carolina,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,New Service Limits,Allows Local Officals to Require for General Public,-,Yes,3/13/20
South Dakota,Reopened,-,-,-,Lifted,-,Reopened,-,-,Yes,3/13/20
Tennessee,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,-,Yes,3/12/20
Texas,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,-,Yes,3/13/20
Utah,Proceeding with Reopening,Lifted,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,-,Yes,3/6/20
Vermont,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,-,Yes,3/13/20
Virginia,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service,Closed,Required for General Public,-,Yes,3/12/20
Washington,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Other,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,-,Yes,2/29/20
West Virginia,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,3/16/20
Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,-,-,Yes,3/12/20
Wyoming,Proceeding with Reopening,-,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,-,Yes,3/13/20
